Twitter Query: -filter:retweets -filter:replies from:narendramodi OR from:RahulGandhi OR from:ArvindKejriwal OR from:BJP4India OR from:INCIndia OR from:AamAadmiParty,,,,,,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
2/17/2019,@BJP4India,BJP,We pay our tribute to the martyrs of the Pulwama terror attack. The sacrifices of our brave security personnel will not go in vain because India has a govt in the centre that takes decisive actions : Shri @AmitShah,1097082164288471041,,pic.twitter.com/JbML9fqgTH,,402,793,Twitter Media Studio,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"Eklavya Model schools are being opened in almost all tribal areas of the country, including Jharkhand. Here are about two dozen schools have started and 70 new schools are under process: PM Modi #JharkhandWithModi",1097081569653616640,,,,246,433,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"In order to provide clean drinking water in Jharkhand, our government has worked on 350 projects with the cost of thousands of crores and similar projects have been laid today: PM Modi #JharkhandWithModi",1097080553029824513,,,,253,404,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,3 years ago there were only 3 medical colleges in Jharkhand and today three medical colleges are being opened in the same day. This will give young people the chance to get medical education right here and at the same time health facilities will be better: PM Modi #JharkhandWithModi,1097079676378312704,,,,318,575,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,Severe illness of about 57 thousand people of Jharkhand has been treated under Ayushmann Bharat Scheme: PM Modi #JharkhandWithModi,1097079081349275648,,https://pbs.twimg.com/media/DzmbmUeVYAAd-Cm.png,,273,398,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"As a parent, as a thankful nation, we have to take care of the families of the martyrs of Pulwama and their children: PM Modi #JharkhandWithModi",1097078851086082048,,https://pbs.twimg.com/media/DzmbRNxUwAECyGx.png,,298,417,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,PM Shri @narendramodi gives beneficiaries the keys of their houses under Prime Minister's Housing Scheme in Hazaribagh. #JharkhandWithModi,1097078590867333120,,https://pbs.twimg.com/media/Dzmasz2UUAAJ5vc.png,,302,500,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@AamAadmiParty,AAP,"Behind the back, we are not in the blood of Hindustan. If we want to say to Pakistan then if you want to strike then face to face. : @ArvindKejriwal",1097078158921265152,,pic.twitter.com/0d5UJCNOTb,,77,227,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/17/2019,@narendramodi,Narendra Modi,Ensuring ‘Ease of Living’ for my sisters and brothers of Jharkhand.,1097076242493272065,https://www.pscp.tv/w/bzkq_TMyMjExNTJ8MWVhSmJPdmRhTlJ4WGfLj3kDkDiyyNYoBcnYKNVgPaLJBCYpGV_Tz80BErXh,,,1651,5711,Periscope,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@AamAadmiParty,AAP,Whole nations wants that Pakistan should face the consequences of this cowardly attack on our brave soliders. Today whole nations stand with the Centre Government. We need to teach Pakistan a lesson : @ArvindKejriwal,1097074709135585281,,pic.twitter.com/hSSFQhMAew,,121,294,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/17/2019,@BJP4India,BJP,PM Modi lays foundation stone & inaugurates development projects at Hazaribagh. #JharkhandWithModi,1097072525337518081,https://www.pscp.tv/w/bzknhzFZTEVKTlh4RG5ORU58MWdxeHZuVnZPRUF4Qizsgldh4p62LTwus0Dw8_h29y9gHjFTQWuOGI1mrD-9,,,426,741,Periscope,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@AamAadmiParty,AAP,National Convenor and Delhi CM @ArvindKejriwal pays homage to the martyrs of Pulwama in Haryana. We bow down to the martyrs of #PulwamaAttack. They have laid down their lives for our beloved motherland. They will always be in our prayers. #RIPBraveSoldiers,1097071973170139139,,https://pbs.twimg.com/media/DzmVGj3W0AAQs9m.jpg,,53,85,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/17/2019,@AamAadmiParty,AAP,"Delhi CM @ArvindKejriwal addresses to a huge gathering of people in Haryana. Thousands of people have come together to pay to tribute the martyrs of #PulwamaAttack ""We support PM Modi to action against Pakistan, we stand united for our soldiers"" : Arvind Kejriwal",1097070257620115456,,https://pbs.twimg.com/media/DzmTjpXWkAA52sV.jpg,,68,172,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/17/2019,@BJP4India,BJP,"Prime Minister Energy Ganga project will get gas from Barauni's fertilizer factory, gas will be provided through pipes in Patna and industries will get adequate gas: PM Shri Narendra Modi",1097066473111969797,,pic.twitter.com/4rCZkmpvX5,,533,892,Twitter Media Studio,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,I commemorate the martyrs who have been martyred for the country and express their sympathies with their families. I am feeling that there is so much fire in the heart of the countrymen. The fire that's in your heart is also blurred inside me: PM Shri Narendra Modi,1097064835555090432,,https://pbs.twimg.com/media/DzmOmPsUUAAiD8Q.jpg,,985,2218,Twitter Media Studio,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"2,700 villages were unelectrified in Assam even after 70 years of independence. Now all the villages of Assam are electrified : Shri @AmitShah",1097054578690772994,,,,560,1206,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,We are committed to the development of the entire North-East which is why the Congress has been wiped out of the region : Shri @AmitShah,1097052580805410816,,https://pbs.twimg.com/media/DzmDZYaU0AAoWQP.png,,610,824,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"If Citizen Amendment Bill isn't implemented, it will adversely impact the people of Assam : Shri @AmitShah",1097051978339766273,,https://pbs.twimg.com/media/DzmC70oUUAIcMsf.png,,529,677,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"The Congress and AGP govt were not able to anything about Clause 6 of Assam Accord, which was made to safeguard the interests of the Assamese culture : Shri @AmitShah",1097051681794121728,,,,421,770,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,The sacrifices of our brave security personnel shall not go in vain : Shri @AmitShah,1097050670807437312,,https://pbs.twimg.com/media/DzmBqD0UUAEopIi.png,,599,801,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@narendramodi,Narendra Modi,Boosting Bihar’s development. Inaugurating multiple projects in Barauni.,1097038508135350273,https://www.pscp.tv/w/bzkH2DMyMjExNTJ8MWRSSlpPbXp2WXZ4QiAkTnGBEpSeGAtMXxhFe_5QizfLHTZv14il0z3SULj8,,,3826,13281,Periscope,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@BJP4India,BJP,"PM Modi lays foundation stone and inaugurates development projects at Barauni, Bihar.",1097032069543211008,https://www.pscp.tv/w/bzkB2TFZTEVKTlh4RG5ORU58MWt2SnBFT1BsVk94RfxH2u0uIN4Nx1k7Hh1UCwLGBT7yCOO77E-IdBLAlteY,,,1355,3215,Periscope,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@AamAadmiParty,AAP,"To pay tribute to the brave soldiers of the martyred martyrs in Pulwama today, the martyrs' rally will be held in Haryana today. Delhi Chief Minister @ArvindKejriwal Ji will also be present.",1097008400850808833,,https://pbs.twimg.com/media/DzlbTuhWkAAzVB1.jpg,,85,261,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/17/2019,@narendramodi,Narendra Modi,This month’s #MannKiBaat programme will take place on the 24th. Dial 1800-11-7800 to record a message for the programme. Express your wonderful ideas on either the MyGov Open Forum or the NaMo App.,1096970947112955904,https://www.mygov.in/group-issue/inviting-ideas-pm-narendra-modis-mann-ki-baat-24th-february-2019/?utm_source=webcampaign&group_issue&278351,,,3327,10461,Twitter for iPhone,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@narendramodi,Narendra Modi,"Will be in Hazaribagh, Jharkhand today to inaugurate: Three medical college buildings. Four rural water supply schemes. Sahibganj Sewerage Treatment Plant Madhusudan Ghat. Foundation stone for many projects will also be laid. Know more.",1096969806799167489,http://nm-4.com/dlg8,,,3179,9552,Twitter for iPhone,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@narendramodi,Narendra Modi,"I look forward to being in Bihar’s Barauni. The inauguration and laying of foundation stones for projects relating to urban development, sanitation, railways, oil and gas, healthcare as well as fertilisers will take place today.",1096969535704494080,http://nm-4.com/glg8,,,4775,20129,Twitter for iPhone,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@narendramodi,Narendra Modi,"Greetings to Telangana’s Chief Minister, Shri K. Chandrashekar Rao Garu on his birthday. May Almighty bless him with a long life filled with good health. @TelanganaCMO",1096969118429908992,,,,2612,14513,Twitter for iPhone,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@BJP4India,BJP,"Just because of one minor glitch you are asking for rethink on an initiative as critical as ‘Make in India’. Do you realise how deeply India is rethinking about a consistent failure like you? P.S: Does your deep thinking involve outsourcing our manufacturing to Italy? RT @RahulGandhi: Modi ji, i think Make in India needs a serious rethink. Most people feel it has failed. I assure you we in the Congress are thinking very deeply about how it will be done.",1096836014281175040,"https://twitter.com/rahulgandhi/status/1096805701954031617
https://indianexpress.com/article/india/train-18-breakdown-vande-bharat-express-engine-failure-5586740/",,,7229,15907,Twitter for iPhone,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/16/2019,@ArvindKejriwal,Arvind Kejriwal,The people of Delhi are in complete solidarity wid the people of Puducherry. Why r the people of Delhi and Puducherry being denied democracy even 70 yrs after independence? RT @VNarayanasami: Thank you @ArvindKejriwal ji for calling me and giving solid support for my fight against @thekiranbedi for her illegal unconstitutional act. I along with my Cabinet colleagues are sitting #Dharna for her recall since she is blocking welfare scheme the people. #BediGoback,1096827418550124545,https://twitter.com/vnarayanasami/status/1096815902249517056,,,1374,4645,Twitter for iPhone,14449079,209,5858,✅,11/5/2011,India,"सब इंसान बराबर हैं, चाहे वो किसी धर्म या जाति के हों। हमें ऐसा भारत बनाना है जहाँ सभी धर्म और जाति के लोगों में भाईचारा और मोहब्बत हो, न कि नफ़रत और बैर हो।",http://www.AamAadmiParty.org,,View
2/16/2019,@BJP4India,BJP,Schedule of BJP National President Shri @AmitShah's public programs on 17 February 2019 in Assam. Watch at .,1096826009813278720,http://facebook.com/BJP4India,https://pbs.twimg.com/media/Dzi0f3cUYAExC9P.jpg,,1454,2131,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/16/2019,@BJP4India,BJP,PM Shri Narendra Modi will inaugurate and construct various development projects in Bihar and Jharkhand. See Live on,1096816475472457729,http://facebook.com/BJP4India,https://pbs.twimg.com/media/DzigQGlU8AAdNIt.jpg,,974,1788,TweetDeck,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/16/2019,@AamAadmiParty,AAP,"""Kashmir is an integral part of India"" When we say this, we must make sure we are talking about the people and not just the land. Come together against terrorism, not against fellow Indians. #JaiHind #PulwamaAttack",1096809758047326209,,https://pbs.twimg.com/media/DzimqQUW0AA3bpk.jpg,,322,814,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/16/2019,@RahulGandhi,Rahul Gandhi,"Modi ji, i think Make in India needs a serious rethink. Most people feel it has failed. I assure you we in the Congress are thinking very deeply about how it will be done.",1096805701954031617,https://indianexpress.com/article/india/train-18-breakdown-vande-bharat-express-engine-failure-5586740/,,,8226,28816,Twitter for iPhone,8562377,206,2159,✅,4/25/2015,"12, Tughlak Lane, New Delhi","This is the official account of Rahul Gandhi | Member of Parliament | President, Indian National Congress",http://www.inc.in,,View
2/16/2019,@INCIndia,Congress,The Congress government is committed to fulfill the promises and we are committed to fulfilling every dream of Chhattisgarh. #CongressForTribalRights,1096769317767602176,,https://pbs.twimg.com/media/DziB34PVAAEuR-z.jpg,,744,3091,Twitter for Android,4857086,2496,1632,✅,2/6/2013,"New Delhi, India",The Official Twitter Account of India's Most Vibrant Political Movement - The Indian National Congress,http://www.inc.in/,,View
2/16/2019,@narendramodi,Narendra Modi,"In Yavatmal, talked about landmark decisions for the benefit of farmers and nomadic communities.",1096756457884667907,,pic.twitter.com/X6uqbxs1mT,,3594,11451,Twitter Media Studio,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@narendramodi,Narendra Modi,"Connecting people, furthering aspirations. The foundation stones and inaugurations took place for many connectivity related projects, which will improve convenience for people in Yavatmal and surrounding areas. Several people also got their own new homes.",1096756356114112513,,pic.twitter.com/JwlDusVs46,,3017,8234,Twitter Media Studio,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@narendramodi,Narendra Modi,"Ayushman Bharat is having a positive impact among the poor, SC and ST communities of Maharashtra. Thanks to Ayushman Bharat, good quality and affordable healthcare is no longer a dream…",1096756222206726144,,pic.twitter.com/vGrhh90vIv,,3858,11948,Twitter Media Studio,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@narendramodi,Narendra Modi,Dhule and Gau Mata have a glorious history. The proposed Kamdhenu Aayog will have a transformative impact as far as the animal husbandry sector is concerned.,1096756062156316672,,pic.twitter.com/1nIv4q0aLg,,2863,7975,Twitter Media Studio,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@narendramodi,Narendra Modi,"A significant effort has been made today to overcome the issue of water scarcity in Maharashtra. At the same time, there is emphasis on ensuring better irrigation and improving sewer systems.",1096755867951652865,,pic.twitter.com/DBnMW09UlD,,2942,8913,Twitter Media Studio,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@narendramodi,Narendra Modi,"The dastardly attack in Pulwama has anguished the nation. Yes, this is a time of great sadness. But, I assure every family that a befitting reply will be given!",1096755533070004226,,pic.twitter.com/k9eSlfAePf,,9145,35323,Twitter Media Studio,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@narendramodi,Narendra Modi,It was good interacting with my sisters and brothers of Maharashtra during programmes at Yavatmal and Dhule. Here are some glimpses.,1096753823211606017,,https://pbs.twimg.com/media/Dzhzd65VYAEWG6D.jpg,,3967,14825,Twitter Web Client,45652856,2124,23328,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/16/2019,@AamAadmiParty,AAP,A chance for outstanding youth to be engaged directly with the revolutionary Delhi Governance. Become a #DelhiAssemblyFellow under the Delhi Assembly Research Centre Fellowship Programme Apply before 25th Feb at  Read below for more details👇,1096750875618484224,http://www.darc.dtu.ac.in,https://pbs.twimg.com/media/DzhxGPPX4AAjgc_.jpg,,60,118,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/16/2019,@BJP4India,BJP,"India is a country of new policy and new custom. These worlds will also experience. A gunfighter or a gun catcher, bomb smoker or bombman, our brave security forces will not let anyone sleep with peace: PM Shri Narendra Modi",1096734259757277185,,pic.twitter.com/b3lu8gkB3e,,2555,5884,Twitter Media Studio,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/16/2019,@BJP4India,BJP,"About a decade ago, the file of widening of Udhna-Jalgaon rail line was started, which can now be completed and completed. Along with the doubling of this line, its electrification has also been completed: PM Modi",1096725464666726400,,,,1141,2394,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/16/2019,@BJP4India,BJP,"The stream of Tapi river that passes through the smoke, has long been craving for water. Today, a great effort has been made to reduce the water for drinking water and irrigation: PM Modi",1096724860309364738,,,,1205,3037,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/16/2019,@BJP4India,BJP,"There is a complete possibility of becoming an industrial city in Dhule city. It is located in such a place where there is a possibility of business in different cities of the country. Many large national highways pass through here. Today, the strengthening of connectivity has laid the foundation stone for two railway lines: PM Modi",1096723813272772608,,https://pbs.twimg.com/media/DzhYb2ZU0AMYeI1.png,,1002,1328,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
